Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
WISEA J125623.36+273238.5,194.09735,27.54405,0.024461,7333,19.11,0
WISEA J130058.83+280136.6,195.24513,28.02685,0.025471,7636,19.11,0
WISEA J130225.04+275820.2,195.60428,27.97225,0.027541,8257,19.11,0
MAPS-NGP O_323_1041336,195.45903,27.67574,0.0207,6206,19.12,4
WISEA J125751.47+270451.7,194.46447,27.08103,0.0265,7945,19.13,0
WISEA J130023.90+271713.3,195.09959,27.28693,0.024187,7251,19.13,0
WISEA J130111.22+274432.9,195.29678,27.74252,0.024519,7351,19.13,0
WISEA J125655.33+265546.9,194.23071,26.92971,0.022845,6849,19.14,0
WISEA J130010.56+271140.2,195.04404,27.19443,0.024805,7436,19.15,0
WISEA J130135.55+282457.3,195.39806,28.41589,0.018703,5607,19.16,0
WISEA J130417.79+280034.7,196.07392,28.00972,0.02358,7069,19.16,0
WISEA J125740.12+273228.1,194.41724,27.54104,0.024311,7288,19.17,0
WISEA J130009.49+265036.8,195.03969,26.84359,0.02467,7396,19.17,0
GALEXASC J130157.06+290301.6,195.48827,29.0502,0.024296,7284,19.18,0
WISEA J125754.25+273741.0,194.47603,27.62803,0.025749,7719,19.19,0
WISEA J125929.28+274825.0,194.87195,27.80692,0.023053,6911,19.19,0
SDSS J130043.93+273537.2,195.18326,27.59366,0.02397,7186,19.19,0
WISEA J125712.28+281858.6,194.30117,28.31628,0.022798,6835,19.2,0
WISEA J125830.01+282536.0,194.62512,28.42664,0.021996,6594,19.2,0
WISEA J130007.12+275551.4,195.0297,27.93095,0.026004,7796,19.2,1
WISEA J130026.18+272735.0,195.10944,27.45975,0.023146,6939,19.2,0
WISEA J125545.32+284554.4,193.93879,28.76507,0.022487,6741,19.21,0
WISEA J125759.90+275108.7,194.49956,27.85251,0.023852,7151,19.21,0
WISEA J125451.36+272939.8,193.714,27.49439,0.023544,7058,19.22,0
WISEA J125646.84+282134.1,194.19521,28.35937,0.023406,7017,19.22,0
WISEA J125752.24+274422.4,194.46767,27.73957,0.023099,6925,19.22,0
WISEA J130027.87+271618.5,195.11613,27.27182,0.025903,7766,19.22,0
WISEA J125738.72+284009.3,194.41128,28.66927,0.019348,5800,19.23,0
WISEA J125811.65+275337.1,194.54855,27.89364,0.019147,5740,19.23,0
WISEA J125811.65+273232.8,194.54864,27.54245,0.023688,7101,19.23,0
WISEA J125933.78+274811.5,194.89081,27.80311,0.020899,6265,19.24,0
WISEA J125713.74+271328.1,194.30725,27.22451,0.023391,7012,19.25,0
WISEA J125611.58+273917.9,194.04825,27.65493,0.024695,7403,19.26,0
WISEA J130431.05+273918.3,196.12943,27.65508,0.020548,6160,19.26,0
WISEA J125601.41+271723.5,194.00588,27.28988,0.025453,7631,19.28,0
WISEA J130330.56+280245.1,195.87737,28.04596,0.0221,6625,19.28,0
WISEA J125643.40+270516.6,194.18081,27.08798,0.017186,5152,19.3,0
WISEA J125827.08+274223.6,194.61287,27.70664,0.02336,7003,19.3,0
WISEA J125707.31+284133.8,194.28044,28.69383,0.027945,8378,19.31,0
WISEA J125906.41+273339.0,194.77669,27.5609,0.025877,7758,19.31,0
WISEA J125540.22+280100.7,193.91753,28.01663,0.022987,6891,19.32,0
WISEA J125740.92+270741.0,194.42058,27.12798,0.01834,5498,19.32,0
WISEA J125751.90+281642.3,194.46628,28.27842,0.021999,6595,19.32,0
WISEA J125519.39+270326.5,193.83081,27.0574,0.024512,7349,19.33,0
WISEA J125639.16+274405.8,194.16297,27.73495,0.022219,6661,19.33,0
WISEA J125737.91+281248.6,194.40806,28.21352,0.024344,7298,19.33,0
WISEA J125946.17+274824.3,194.94249,27.80697,0.027944,8377,19.33,1
WISEA J130327.13+271441.7,195.86306,27.2449,0.022599,6775,19.33,0
WISEA J125615.30+271911.3,194.06372,27.31978,0.018193,5454,19.35,0
WISEA J125734.40+270131.5,194.39321,27.02529,0.020834,6246,19.35,0
SDSS J125646.16+274903.9,194.19233,27.81789,0.019274,5778,19.36,0
WISEA J125558.16+274537.7,193.99236,27.76041,0.022482,6740,19.37,0
