

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2026-05-18T03:35:50PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
172|WISEA J125519.11+275529.9|193.82964 |  27.92500 |G|  6446| 0.021503 |SLS |18.62|  0.000|29|0|32|23|16|4|0
173|WISEA J125519.12+280933.6|193.82984 |  28.15933 |G|  6096| 0.020335 |SLS |20.57|  0.000|1|0|27|4|1|4|0
174|WISEA J125519.39+270326.5|193.83081 |  27.05740 |G|  7349| 0.024512 |SLS |19.33|  0.000|2|0|22|5|1|0|0
175|WISEA J125520.00+275200.0|193.83335 |  27.86668 |G|  6973| 0.023260 |SLS |15.7g|  0.000|42|0|52|26|21|6|0
176|WISEA J125520.43+264759.3|193.83517 |  26.79983 |G|  6833| 0.022793 |SLS |17.8g|  0.000|23|0|36|13|9|4|0
177|WISEA J125520.79+270858.7|193.83665 |  27.14966 |G|  6266| 0.020900 |SLS |18.0g|  0.000|26|0|39|18|12|4|0
178|2MASS J12552089+2740090|193.83721 |  27.66916 |G|  7135| 0.023799 |SLS |18.41|  0.000|28|0|24|20|14|4|0
179|CGCG 160-016|193.84402 |  28.46790 |G|  7020| 0.023416 |SLS |15.5g|  0.000|45|0|74|21|14|10|0
180|WISEA J125522.72+285738.8|193.84457 |  28.96063 |G|  7223| 0.024092 |SLS |20.59|  0.000|1|0|35|6|1|4|0
181|WISEA J125524.02+280519.3|193.85004 |  28.08888 |G| 16775| 0.055957 |SLS |20.79|  0.000|1|0|31|5|1|4|0
182|WISEA J125524.41+271650.0|193.85183 |  27.28052 |G|  6575| 0.021933 |SLS |19.00|  0.000|21|0|35|13|8|4|0
